Tweet,Timestamp,Processed Tweet,polarity,subjectivity,label
"RT @Dubeyjilive: Police barricading removed from #ChillaBorder. Thakur Bhanu Pratap Singh, president of Bharatiya Kisan Union (Bhanu) who w…",2021-01-27 16:53:49,police barricading removed thakur bhanu pratap singh president bharatiya kisan union bhanu w,0.0,0.0,0.0
"RT @TheQuint: #FarmersProtest | ""Deep Sidhu, Lakha Sidhana, Sukhpreet Udhoke and Bir Singh were important for a section of young protesters…",2021-01-27 16:53:42,deep sidhu lakha sidhana sukhpreet udhoke bir singh important section young protester,0.16666666666666666,0.6,1.0
"RT @TheQuint: #FarmersProtest | ""Deep Sidhu, Lakha Sidhana, Sukhpreet Udhoke and Bir Singh were important for a section of young protesters…",2021-01-27 16:52:45,deep sidhu lakha sidhana sukhpreet udhoke bir singh important section young protester,0.16666666666666666,0.6,1.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:52:44,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @nsui: KSU activists held the protest across the state in support of farmers against the Black Farm Bills passed by Modi Government. 
We…",2021-01-27 16:52:29,ksu activist held protest across state support farmer black farm bill passed modi government,-0.16666666666666666,0.43333333333333335,-1.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:52:22,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:52:07,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @SimranRoohi: Did you know this is currently happening? 
Today almost 200,000 (yes estimated 200K!) tractors from villages in Punjab, Ha…",2021-01-27 16:51:43,know currently happening today almost yes estimated k tractor village punjab ha,0.0,0.4,0.0
"RT @SriSubodhKmr: Police barricading being removed from Chilla Border. 

Thakur Bhanu Pratap Singh, president of Bharatiya Kisan Union (Bha…",2021-01-27 16:51:42,police barricading removed chilla border thakur bhanu pratap singh president bharatiya kisan union bha,0.0,0.0,0.0
"Police barricading being removed from Chilla Border. 

Thakur Bhanu Pratap Singh, president of Bharatiya Kisan Unio… https://t.co/y7fNJWQ79Q",2021-01-27 16:51:20,police barricading removed chilla border thakur bhanu pratap singh president bharatiya kisan unio,0.0,0.0,0.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:51:05,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
RT @satishacharya: Farmers protest! #FarmersProtest #RedFort https://t.co/NAn2Rm6SxH,2021-01-27 16:50:38,farmer protest,0.0,0.0,0.0
"RT @TheQuint: #FarmersProtest | ""Deep Sidhu, Lakha Sidhana, Sukhpreet Udhoke and Bir Singh were important for a section of young protesters…",2021-01-27 16:50:29,deep sidhu lakha sidhana sukhpreet udhoke bir singh important section young protester,0.16666666666666666,0.6,1.0
Entire country is watching the historic struggle of our farmers with a lot of expectations. This protest has shown… https://t.co/cSuOLSE9xp,2021-01-27 16:50:11,entire country watching historic struggle farmer lot expectation protest shown,0.0,0.3125,0.0
